Kanji,Heisig_Keyword
々,repition_marker
一,one
二,two
三,three
四,four
五,five
六,six
七,seven
八,eight
九,nine
十,ten
百,hundred
千,thousand
万,ten_thousand
億,hundred_million
兆,portent
円,circle
時,time
寺,Buddhist_temple
日,day
月,month
火,fire
水,water
木,tree
金,gold
土,soil
曜,weekday
週,week
年,year
分,part
何,what
先,before
今,now
来,come
行,going
帰,homecoming
大,large
中,in
小,little
少,few
多,many
上,above
下,below
右,right
左,left
方,direction
人,person
入,enter
出,exit
外,outside
内,inside
本,book
休,rest
体,body
力,power
協,co-
目,eye
口,mouth
耳,ear
手,hand
足,leg
山,mountain
川,stream
空,empty
海,sea
毎,every
石,stone
田,rice_field
花,flower
林,grove
森,forest
男,male
女,woman
子,child
供,submit
好,fond
私,private
友,friend
達,accomplished
家,house
客,guest
元,beginning
天,heavens
気,spirit
雨,rain
雪,snow
青,blue
晴,clear_up
明,bright
暗,darkness
昨,yesterday
東,east
西,west
南,south
北,north
向,yonder
門,gates
開,open
閉,closed
聞,hear
間,interval
高,tall
安,relax
低,lower
最,utmost
初,first_time
前,in_front
後,behind
午,noon
牛,cow
半,half
朝,morning
昼,daytime
晩,nightfall
夜,night
夕,evening
食,eat
飲,drink
飯,meal
買,buy
見,see
言,say
話,tale
読,read
語,word
英,England
文,sentence
字,character
漢,Sino-
書,write
覚,memorize
会,meeting
合,fit
社,company
員,employee
満,full
仕,attend
事,matter
故,happenstance
工,craft
場,location
電,electricity
車,car
駅,station
交,mingle
通,traffic
道,road-way
路,path
地,ground
図,map
他,other
止,stop
歩,walk
走,run
渡,transit
度,degrees
近,near
遠,distant
長,long
短,short
広,wide
全,whole
部,section
国,country
世,generation
界,world
白,white
黒,black
赤,red
銀,silver
鉄,iron
肉,meat
魚,fish
野,plains
菜,vegetable
屋,roof
米,rice
茶,tea
味,flavor
未,not_yet
末,extremity
料,fee
理,logic
解,unravel
有,possess
無,nothingness
作,make
使,use
用,utilize
費,expense
消,extinguish
売,sell
店,store
商,make_a_deal
品,goods
販,marketing
階,story
段,grade
値,price
価,value
格,status
春,springtime
夏,summer
秋,autumn
冬,winter
季,seasons
暑,sultry
熱,heat
寒,cold
暖,warmth
温,warm
台,pedestal
風,wind
情,feelings
報,report
告,revelation
新,new
古,old
昔,once_upon_a_time
良,good
悪,bad
心,heart
思,think
忘,forget
考,consider
決,decide
知,know
才,genius
能,ability
可,can
不,negative
郵,mail
便,convenience
局,bureau
番,turn
号,nickname
住,dwell
所,place
氏,family_name
名,name
各,each
県,prefecture
市,market
町,village
村,town
区,ward
丁,street
京,capital
都,metropolis
様,Esq.
御,honorable
荷,baggage
物,thing
重,heavy
軽,lightly
量,quantity
配,distribute
送,send_off
受,accept
取,take
届,deliver
待,wait
持,hold
打,strike
投,throw
役,duty
生,life
性,sex
産,products
活,lively
徒,junior
学,study
校,exam
教,teach
育,bring_up
制,system
勉,exertion
強,strong
弱,weak
引,pull
押,push
練,practice
習,learn
慣,accustomed
研,polish
究,research
試,test
験,verification
質,substance
問,question
題,topic
簡,simplicity
単,simple
複,duplicate
雑,miscellaneous
難,difficult
点,spot
数,number
回,-times
個,individual
枚,sheet_of
勝,victory
負,defeat
担,shouldering
当,hit
然,sort_of_thing
法,method
律,rhythm
規,standard
則,rule
施,alms
経,sutra
済,finish
営,occupation
株,stocks
式,style
企,undertake
業,profession
利,profit
益,benefit
収,income
技,skill
術,art
芸,technique
製,made_in...
造,create
必,invariably
要,need
求,request
請,solicit
額,forehead
計,plot
算,calculate
差,distinction
割,proportion
残,remainder
支,branch
払,pay
返,return
借,borrow
貸,lend
申,speaketh
込,crowded
期,period
限,limit
急,hurry
切,cut
符,tokenｆｓｈ
券,ticket
賃,fare
代,substitute
指,finger
定,determine
予,beforehand
約,promise
束,bundle
変,unusual
化,change
更,grow_late
増,increase
減,dwindle
乗,ride
降,descend
着,don
脱,undress
税,tax
立,stand_up
座,sit
席,seat
欠,lack
次,next
運,carry
転,revolve
移,shift
動,move
働,work
早,early
速,quick
遅,slow
始,commence
終,end
現,present
在,exist
実,reality
過,overdo
去,gone
発,discharge
表,surface
紙,paper
絵,picture
誌,document
音,sound
楽,music
